,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
66,70,2.238030450211712,2.3894522426885834,2.13299012363744,2.6556874966319897,3.3020808389435023,2.870003217454005,3.274214712583413,,2.757885261529681,1.546116092771743
67,71,2.3069314880299934,2.381830208940319,2.1227411404780923,2.648680784472681,3.268434222415106,3.129646390562092,3.5909701693093257,,2.7418091188477236,1.57222069327724
68,72,2.378521928576683,2.3742630002123324,2.1143583274539206,2.6416298835108574,3.163677834918291,3.411950588923519,3.9262109551979893,,,1.6023680040332553
69,73,2.451202704339786,2.366721215852352,2.1078151356249606,2.634428345901401,3.1695095704228233,3.703918182876973,4.244946492254717,,,1.6359681331414475
70,74,2.522525083767356,2.359232990432908,2.103074148186346,2.6271492460975527,3.14143876340737,3.96929083386749,4.446654086224416,,,1.673707128386245
71,75,2.590540730003924,2.3517997023861765,2.1001067332609322,2.6197632815740786,3.1308603613813766,4.110821766242551,4.232067112848238,,,1.7150782288903645
72,76,2.6528525173748907,2.344423040862758,2.098884549137771,2.6122738299683737,3.1350790269656907,3.8550029618671524,2.590062111782733,,,1.7604398878121206
73,77,2.7020969226585154,2.337104944596687,2.099377747077992,2.604677586584685,3.13641111049267,2.3333333333333335,2.8919803600861975,,,1.8094038393712715
74,78,2.756208230564385,2.3298475443650015,2.101611871715013,2.596941388512295,3.148398598438956,2.590062111782733,3.25,,,1.8620480601782035
75,79,2.811812420604793,2.3226531097873098,2.1056359632622277,2.5891366300509286,3.1838882423432353,2.8919803600861975,3.6790352504375576,,,1.9184318698223044
76,80,2.8601966627520468,2.315478950884739,2.1114558186119967,2.581079263767883,3.2599301259823315,3.25,4.200000000029803,,,1.9777825812060714
77,81,2.8990677880525375,2.3083705731090793,2.1190701114016455,2.5732488837430525,3.3411844134132296,3.6790352504375576,4.8431372549019605,,,2.0402184342810146
78,82,2.906927876955699,2.3013306349024845,2.128405497978166,2.5656707725680494,3.384960624026669,4.200000000029803,5.653846153806753,,,2.1039026175365105
79,83,2.8848915888811386,2.2943617649040933,2.1394488573435564,2.55877664005193,3.39832154544717,4.8431372549019605,6.703504043172876,,,2.1688498918609
80,84,2.82865584718939,2.287413162324182,2.1521749505174865,2.5525762267123038,3.2553021651344207,5.653846153806753,6.703504043172875,,,2.232197841526938
81,85,2.732179738694324,2.2805393219252545,2.1665802023756173,2.547419182372502,3.201574885600467,5.653846153806753,11.68589886384151,,,2.2938126916084474
82,86,2.598717153039059,2.273742865521457,2.1826627940568533,2.5434139355455616,3.207701201706506,9.91846760986872,11.522278914697266,,,2.3488497494470035
83,87,2.4485408096389816,2.267026270752769,2.2004084501253787,2.5406871973289356,3.2503626495642632,10.06939371808047,10.473228772346635,,,2.39697949973077
84,88,2.3144164785647185,2.2603918533462837,2.2197687650504,2.539341629856642,3.237905915520474,9.342969137594064,9.352929279861332,,,2.4311065658843165
85,89,2.2315710002459763,2.253841753509468,2.240688247511023,2.5392200186965943,3.2798579940542476,8.466942148760328,8.3390254060808,,,2.451522621240054
86,90,2.2389358777115724,2.247377925673859,2.2631627451409098,2.540610270988134,3.3245597893077945,7.631692284010428,7.459250344778172,,,2.4498055369597433
87,91,2.2620872193963213,2.241068097614395,2.287099308456086,2.5439065020422156,3.324573883918604,6.883815928631569,6.227330653857466,,,2.430714634547576
88,92,2.3319383795481095,2.2349156844661793,2.312452883626126,2.548956259020962,3.3438243939762526,6.227330653857466,5.2928335596378435,,,2.3884111446269753
89,93,2.422386905285381,2.2287851862862222,2.339302163446462,2.5548700742845956,3.4132688057946896,5.2928335596378435,4.561718705029446,,,2.334053795913709
90,94,2.436108943404433,2.222746538188668,2.36757212464413,2.5618428567496214,3.475663364402209,4.561718705029446,3.9759277944225255,,,2.2688310457467322
91,95,2.3974794356908053,2.2166565541098247,2.3970869042461795,2.569187770639219,3.576246768715344,3.9759277944225255,3.497694473917412,,,2.2097244183240012
92,96,2.327990078748312,2.210660741058063,2.4275189929700014,2.5772033805442103,3.6053597379164994,3.497694473917412,3.1014045874281417,,,2.162474991716687
93,97,2.228885019870349,2.204759926988609,2.4586932030163897,2.585840132713707,3.554851000016851,3.1014045874281417,2.7690838350894174,,,2.145559530758661
94,98,2.0990635709072962,2.1988792764736833,2.490369218060455,2.59476392873568,3.418072516306587,2.7690838350894174,2.487757848488894,,,2.164526185413341
95,99,1.92865166439804,2.1930957354320024,2.5221467930770274,2.603797631559653,3.1338628138583653,2.655497671072292,2.3931855056787454,,,2.226133963431967
