,date,open,high,low,close,volumn
235,31881,1641900,1641900,1641900,1641900,29
236,31882,1641900,1641900,1641900,1641900,7
237,31883,1641900,1641900,1641900,1641900,4
238,31884,1641900,1641900,1641900,1641900,21
239,31885,1641900,1641900,1641900,1641900,7
240,31886,1641900,1641900,1641900,1641900,5
241,31887,1641900,1641900,1641900,1641900,19
242,31888,1641900,1641900,1641900,1641900,21
243,31890,1641900,1641900,1641900,1641900,22
244,31891,1641900,1641900,1641900,1641900,6
245,31897,1642000,1642000,1642000,1642000,5
246,31898,1642000,1642000,1642000,1642000,12
247,31899,1642000,1642000,1642000,1642000,17
248,31907,1642000,1642000,1642000,1642000,1
249,31908,1642000,1642000,1642000,1642000,4
250,31909,1642000,1642000,1642000,1642000,8
251,31910,1642000,1642000,1642000,1642000,4
252,31911,1642000,1642000,1642000,1642000,3
253,31912,1642000,1642100,1642000,1642000,25
254,31913,1642000,1642000,1642000,1642000,11
255,31914,1642000,1642000,1642000,1642000,5
256,31915,1642000,1642100,1642100,1642100,7
257,31916,1642100,1642200,1642100,1642200,40
258,31917,1642200,1642200,1642200,1642200,7
259,31918,1642200,1642200,1642200,1642200,4
260,31919,1642200,1642200,1642200,1642200,7
261,31920,1642200,1642200,1642200,1642200,2
262,31921,1642200,1642200,1642000,1642000,40
263,31922,1642000,1642100,1642000,1642100,22
264,31923,1642100,1642100,1642100,1642100,7
265,31924,1642100,1642100,1642000,1642000,30
266,31925,1642000,1642000,1642000,1642000,11
267,31926,1642000,1642000,1642000,1642000,6
268,31927,1642000,1642000,1642000,1642000,6
269,31928,1642000,1642000,1642000,1642000,8
270,31929,1642000,1642000,1642000,1642000,6
271,31930,1642000,1642000,1642000,1642000,5
272,31931,1642000,1642100,1642000,1642100,35
273,31932,1642100,1642100,1642000,1642000,23
274,31933,1642000,1642000,1642000,1642000,5
275,31934,1642000,1642100,1642000,1642000,22
276,31935,1642000,1642000,1642000,1642000,7
277,31936,1642000,1642000,1642000,1642000,2
278,31937,1642000,1642200,1642000,1642200,75
279,31938,1642200,1642300,1642200,1642200,30
280,31939,1642200,1642200,1642100,1642100,8
281,31940,1642100,1642100,1642100,1642100,33
282,31942,1642100,1642100,1642100,1642100,19
283,31943,1642200,1642200,1642200,1642200,15
284,31944,1642200,1642200,1642100,1642200,39
285,31945,1642200,1642200,1642200,1642200,3
286,31946,1642200,1642200,1642200,1642200,3
287,31947,1642200,1642200,1642200,1642200,12
288,31948,1642300,1642300,1642200,1642200,34
289,31949,1642200,1642100,1642100,1642100,23
290,31950,1642100,1642100,1642100,1642100,7
291,31951,1642100,1642100,1642100,1642100,9
292,31952,1642100,1642100,1642100,1642100,4
293,31953,1642100,1642100,1642100,1642100,1
294,31954,1642100,1642100,1642100,1642100,3
295,31955,1642100,1642100,1642100,1642100,7
296,31956,1642100,1642100,1642100,1642100,9
297,31957,1642100,1642100,1642100,1642100,3
298,31958,1642100,1642100,1642100,1642100,14
299,31959,1642100,1642100,1642100,1642100,5
300,31960,1642100,1642100,1642100,1642100,4
