,Time,Open_buy,High_buy,Low_buy,Close_buy,Vol_buy,Open_sell,High_sell,Low_sell,Close_sell,Vol_sell
8344,41109,1651300,1651300,1651300,1651300,8,1651500,1651500,1651500,1651500,8
8345,41110,1651300,1651300,1651300,1651300,2,1651500,1651500,1651500,1651500,2
8346,41111,1651300,1651300,1651300,1651300,2,1651500,1651500,1651500,1651500,2
8347,41112,1651300,1651300,1651300,1651300,20,1651400,1651400,1651400,1651400,20
8348,41113,1651300,1651300,1651300,1651300,28,1651500,1651500,1651500,1651500,28
8349,41114,1651300,1651300,1651300,1651300,6,1651500,1651500,1651500,1651500,6
8350,41115,1651300,1651300,1651200,1651200,35,1651500,1651400,1651400,1651400,35
8351,41116,1651200,1651200,1651000,1651100,44,1651400,1651300,1651300,1651300,44
8352,41117,1651100,1651100,1651100,1651100,5,1651300,1651300,1651300,1651300,5
8353,41118,1651100,1651100,1651100,1651100,7,1651300,1651300,1651300,1651300,7
8354,41119,1651100,1651200,1651100,1651200,21,1651300,1651300,1651300,1651300,21
8355,41120,1651200,1651200,1651200,1651200,2,1651300,1651300,1651300,1651300,2
8356,41121,1651200,1651100,1651100,1651100,23,1651300,1651300,1651200,1651200,23
8357,41122,1651100,1651100,1651100,1651100,9,1651200,1651200,1651200,1651200,9
8358,41123,1651100,1651200,1651100,1651200,23,1651200,1651300,1651200,1651300,23
8359,41124,1651200,1651200,1651200,1651200,6,1651300,1651300,1651300,1651300,6
8360,41125,1651200,1651200,1651200,1651200,2,1651300,1651300,1651300,1651300,2
8361,41126,1651200,1651200,1651200,1651200,3,1651300,1651300,1651300,1651300,3
8362,41127,1651200,1651100,1651100,1651100,33,1651300,1651300,1651200,1651300,33
8363,41128,1651100,1651100,1651100,1651100,8,1651300,1651300,1651300,1651300,8
8364,41129,1651100,1651100,1651100,1651100,6,1651300,1651300,1651300,1651300,6
8365,41130,1651100,1651200,1651100,1651100,36,1651300,1651300,1651300,1651300,36
8366,41131,1651100,1651100,1651100,1651100,10,1651300,1651300,1651300,1651300,10
8367,41132,1651100,1651100,1651100,1651100,16,1651200,1651200,1651200,1651200,16
8368,41133,1651100,1651100,1651100,1651100,2,1651200,1651200,1651200,1651200,2
8369,41134,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8370,41135,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8371,41136,1651100,1651100,1651100,1651100,14,1651200,1651200,1651200,1651200,14
8372,41137,1651100,1651100,1651100,1651100,5,1651200,1651200,1651200,1651200,5
8373,41139,1651100,1651100,1651100,1651100,4,1651200,1651200,1651200,1651200,4
8374,41141,1651100,1651100,1651100,1651100,2,1651200,1651200,1651200,1651200,2
8375,41142,1651100,1651100,1651100,1651100,2,1651200,1651200,1651200,1651200,2
8376,41143,1651100,1651100,1651000,1651000,26,1651200,1651200,1651200,1651200,26
8377,41146,1651000,1651000,1651000,1651000,1,1651200,1651200,1651200,1651200,1
8378,41147,1651000,1651000,1651000,1651000,8,1651200,1651200,1651200,1651200,8
8379,41148,1651100,1651100,1651100,1651100,16,1651200,1651200,1651200,1651200,16
