,time_diff,close,volume,match_hr,match_min,match_sec,match_ms,time_in_ms
1778,219,1793800,7,8,47,17,967,31637967
1779,0,1793800,7,8,47,17,967,31637967
1781,3,1794000,1,8,47,17,970,31637970
1782,0,1794000,5,8,47,17,970,31637970
1783,106,1794100,1,8,47,18,76,31638076
1784,37,1794100,1,8,47,18,113,31638113
1785,139,1794000,1,8,47,18,252,31638252
1786,73,1794000,2,8,47,18,325,31638325
1787,97,1794100,1,8,47,18,422,31638422
1788,230,1794100,2,8,47,18,652,31638652
1789,29,1794100,2,8,47,18,681,31638681
1790,1,1794100,1,8,47,18,682,31638682
1791,452,1794100,1,8,47,19,134,31639134
1793,566,1794100,1,8,47,19,700,31639700
1794,0,1794100,1,8,47,19,700,31639700
1796,210,1794100,1,8,47,19,910,31639910
1797,86,1794100,1,8,47,19,996,31639996
1798,167,1794200,1,8,47,20,163,31640163
1799,302,1794000,1,8,47,20,465,31640465
1800,108,1794000,3,8,47,20,573,31640573
1801,97,1794000,1,8,47,20,670,31640670
1802,77,1793900,1,8,47,20,747,31640747
1803,53,1793900,3,8,47,20,800,31640800
1804,73,1793900,1,8,47,20,873,31640873
1805,249,1793800,1,8,47,21,122,31641122
1806,66,1793900,2,8,47,21,188,31641188
1807,21,1794000,1,8,47,21,209,31641209
1808,38,1794000,1,8,47,21,247,31641247
1809,294,1794000,2,8,47,21,541,31641541
1810,116,1794000,1,8,47,21,657,31641657
1811,385,1794000,1,8,47,22,42,31642042
1812,308,1793800,1,8,47,22,350,31642350
1813,67,1793800,1,8,47,22,417,31642417
1814,161,1793900,1,8,47,22,578,31642578
1815,336,1793700,1,8,47,22,914,31642914
1816,257,1793800,1,8,47,23,171,31643171
1817,822,1793700,1,8,47,23,993,31643993
1818,204,1793700,1,8,47,24,197,31644197
1819,815,1793900,1,8,47,25,12,31645012
1820,0,1793900,1,8,47,25,12,31645012
1821,535,1794000,2,8,47,25,547,31645547
1823,240,1794200,4,8,47,25,787,31645787
1824,0,1794200,1,8,47,25,787,31645787
1825,0,1794200,7,8,47,25,787,31645787
1826,1,1794200,2,8,47,25,788,31645788
1827,1,1794300,6,8,47,25,789,31645789
1828,0,1794300,1,8,47,25,789,31645789
1829,145,1794300,1,8,47,25,934,31645934
1830,6,1794400,1,8,47,25,940,31645940
1831,217,1794300,3,8,47,26,157,31646157
1832,275,1794300,1,8,47,26,432,31646432
1833,183,1794300,1,8,47,26,615,31646615
1834,130,1794300,2,8,47,26,745,31646745
1835,125,1794300,2,8,47,26,870,31646870
